clip_id,frames,duration_s,ground_offset_m
CMU_132_01,467,11.675,0.15204
CMU_132_02,376,9.4,0.15467
CMU_132_03,489,12.225,0.14587
CMU_132_04,446,11.15,0.14407
CMU_132_05,435,10.875,0.15029
CMU_132_06,439,10.975,0.14982
CMU_132_07,297,7.425,0.15627
CMU_132_08,481,12.025,0.1533
CMU_132_09,391,9.775,0.15374
CMU_132_10,537,13.425,0.15369
CMU_132_11,532,13.3,0.15708
CMU_132_12,523,13.075,0.15382
CMU_132_13,3168,79.2,0.15184
CMU_132_14,2206,55.15,0.14411
CMU_132_15,2177,54.425,0.13537
CMU_132_16,3098,77.45,0.10019
CMU_132_17,86,2.15,0.12651
CMU_132_18,137,3.425,0.13585
CMU_132_19,87,2.175,0.15318
CMU_132_20,110,2.75,0.14578
CMU_132_21,115,2.875,0.15077
CMU_132_22,120,3.0,0.13677
CMU_132_23,244,6.1,0.12367
CMU_132_24,243,6.075,0.13576
CMU_132_25,182,4.55,0.14075
CMU_132_26,208,5.2,0.1321
CMU_132_27,238,5.95,0.13269
CMU_132_28,236,5.9,0.13156
CMU_132_29,255,6.375,0.14247
CMU_132_30,258,6.45,0.12743
CMU_132_31,236,5.9,0.14469
CMU_132_32,211,5.275,0.11747
CMU_132_33,133,3.325,0.12056
CMU_132_34,169,4.225,0.12871
CMU_132_35,418,10.45,0.15267
CMU_132_36,1294,32.35,0.14542
CMU_132_37,2240,56.0,0.12583
CMU_132_38,56,1.4,0.13201
CMU_132_39,2079,51.975,0.13099
CMU_132_40,279,6.975,0.14094
CMU_132_41,2116,52.9,0.15263
CMU_132_42,226,5.65,0.13213
CMU_132_43,265,6.625,0.12913
CMU_132_44,1731,43.275,0.14001
CMU_132_45,507,12.675,0.14871
CMU_132_46,404,10.1,0.15275
CMU_132_47,500,12.5,0.14267
CMU_132_48,538,13.45,0.14864
CMU_132_49,579,14.475,0.15074
CMU_132_50,709,17.725,0.14602
CMU_132_51,55,1.375,0.14914
CMU_132_52,441,11.025,0.14327
CMU_132_53,2163,54.075,0.12084
CMU_132_54,2006,50.15,0.1357
CMU_132_55,1028,25.7,0.13703
CMU_133_03,416,10.4,0.16491
CMU_133_04,258,6.45,0.15981
CMU_133_05,321,8.025,0.16113
CMU_133_06,290,7.25,0.15798
CMU_133_07,323,8.075,0.16202
CMU_133_08,406,10.15,0.16762
CMU_133_10,437,10.925,0.13994
CMU_133_11,350,8.75,0.16305
CMU_133_12,320,8.0,0.16109
CMU_133_13,376,9.4,0.16339
CMU_133_14,292,7.3,0.16001
CMU_133_15,292,7.3,0.14762
CMU_133_16,165,4.125,0.15406
CMU_133_17,189,4.725,0.16146
CMU_133_18,153,3.825,0.14151
CMU_133_19,274,6.85,0.16882
CMU_133_20,360,9.0,0.15373
CMU_133_21,259,6.475,0.16449
CMU_133_22,249,6.225,0.16298
CMU_133_23,279,6.975,0.16505
CMU_133_24,312,7.8,0.16181
CMU_139_04,291,7.275,0.15981
CMU_139_10,226,5.65,0.14659
CMU_139_11,103,2.575,0.15729
CMU_139_12,322,8.05,0.15291
CMU_139_13,459,11.475,0.13738
CMU_139_14,326,8.15,0.14504
CMU_139_15,356,8.9,0.14477
CMU_139_16,214,5.35,0.01799
CMU_139_17,236,5.9,0.03144
CMU_139_18,280,7.0,0.04231
CMU_139_21,433,10.825,0.1744
CMU_139_28,986,24.65,0.14701
CMU_140_01,273,6.825,0.06993
CMU_140_02,309,7.725,0.14022
CMU_140_08,296,7.4,0.16385
CMU_140_09,268,6.7,0.16553
CMU_143_01,30,0.75,0.13361
CMU_143_02,65,1.625,0.13849
CMU_143_03,76,1.9,0.14735
CMU_143_04,358,8.95,0.14839
CMU_143_05,109,2.725,0.16526
CMU_143_06,127,3.175,0.17039
CMU_143_07,182,4.55,0.16576
CMU_143_08,125,3.125,0.12262
CMU_143_09,178,4.45,0.16523
CMU_143_14,238,5.95,0.1406
CMU_143_15,232,5.8,0.12813
CMU_143_16,200,5.0,0.14762
CMU_143_29,356,8.9,0.16411
CMU_143_32,256,6.4,0.149
CMU_143_39,357,8.925,0.16471
CMU_143_40,319,7.975,0.16583
CMU_143_41,385,9.625,0.16094
CMU_143_42,175,4.375,0.12918
